Show,Season,Episode,Rating
The Office (US),1,1,7.3
The Office (US),1,2,8.1
The Office (US),1,3,7.6
The Office (US),1,4,7.8
The Office (US),1,5,8.2
The Office (US),1,6,7.6
The Office (US),2,1,8.6
The Office (US),2,2,8.1
The Office (US),2,3,8.2
The Office (US),2,4,8.1
The Office (US),2,5,7.9
The Office (US),2,6,7.9
The Office (US),2,7,8.5
The Office (US),2,8,8
The Office (US),2,9,8.2
The Office (US),2,10,8.7
The Office (US),2,11,8.5
The Office (US),2,12,9
The Office (US),2,13,8.1
The Office (US),2,14,7.6
The Office (US),2,15,8
The Office (US),2,16,8.1
The Office (US),2,17,8.3
The Office (US),2,18,8.2
The Office (US),2,19,8
The Office (US),2,20,8.2
The Office (US),2,21,8.6
The Office (US),2,22,9.3
The Office (US),3,1,8.9
The Office (US),3,2,8
The Office (US),3,3,8.4
The Office (US),3,4,7.8
The Office (US),3,5,7.9
The Office (US),3,6,7.7
The Office (US),3,7,8.5
The Office (US),3,8,8.6
The Office (US),3,9,8.2
The Office (US),3,10,8.7
The Office (US),3,11,8.5
The Office (US),3,12,8.5
The Office (US),3,13,8.7
The Office (US),3,14,7.9
The Office (US),3,15,8
The Office (US),3,16,8.8
The Office (US),3,17,8.3
The Office (US),3,18,8.9
The Office (US),3,19,8.6
The Office (US),3,20,8.5
The Office (US),3,21,8.7
The Office (US),3,22,9
The Office (US),3,23,9.2
The Office (US),4,1,8.7
The Office (US),4,2,8.1
The Office (US),4,3,8.2
The Office (US),4,4,8.5
The Office (US),4,5,8.6
The Office (US),4,6,8.3
The Office (US),4,7,8
The Office (US),4,8,8.6
The Office (US),4,9,9.4
The Office (US),4,10,7.8
The Office (US),4,11,8.5
The Office (US),4,12,8.1
The Office (US),4,13,7.6
The Office (US),4,14,9.2
The Office (US),5,1,8.7
The Office (US),5,2,8.1
The Office (US),5,3,7.8
The Office (US),5,4,7.9
The Office (US),5,5,7.9
The Office (US),5,6,8.4
The Office (US),5,7,8
The Office (US),5,8,8.5
The Office (US),5,9,8.6
The Office (US),5,10,8.2
The Office (US),5,11,8.6
The Office (US),5,12,7.8
The Office (US),5,13,9.7
The Office (US),5,14,8
The Office (US),5,15,8
The Office (US),5,16,7.8
The Office (US),5,17,8.5
The Office (US),5,18,8.1
The Office (US),5,19,8.2
The Office (US),5,20,8.1
The Office (US),5,21,8.6
The Office (US),5,22,8.5
The Office (US),5,23,9.2
The Office (US),5,24,8.1
The Office (US),5,25,8.7
The Office (US),5,26,8.9
The Office (US),6,1,8.7
The Office (US),6,2,7.9
The Office (US),6,3,7.8
The Office (US),6,4,9.2
The Office (US),6,5,9.4
The Office (US),6,6,7.5
The Office (US),6,7,8.5
The Office (US),6,8,8
The Office (US),6,9,7.9
The Office (US),6,10,8.6
The Office (US),6,11,8
The Office (US),6,12,8.2
The Office (US),6,13,8.4
The Office (US),6,14,6.7
The Office (US),6,15,7.5
The Office (US),6,16,7.9
The Office (US),6,17,8.3
The Office (US),6,18,8.4
The Office (US),6,19,7.5
The Office (US),6,20,7.6
The Office (US),6,21,8.4
The Office (US),6,22,7.7
The Office (US),6,23,7.7
The Office (US),6,24,8
The Office (US),6,25,7.6
The Office (US),6,26,7.8
The Office (US),7,1,8.2
The Office (US),7,2,8
The Office (US),7,3,8.1
The Office (US),7,4,7.7
The Office (US),7,5,7.6
The Office (US),7,6,8
The Office (US),7,7,7.2
The Office (US),7,8,7.7
The Office (US),7,9,7.5
The Office (US),7,10,8
The Office (US),7,11,8.8
The Office (US),7,12,8.1
The Office (US),7,13,7.5
The Office (US),7,14,8.4
The Office (US),7,15,8.3
The Office (US),7,16,9.3
The Office (US),7,17,7.3
The Office (US),7,18,9.3
The Office (US),7,19,7.5
The Office (US),7,20,8.9
The Office (US),7,21,9.8
The Office (US),7,22,7.4
The Office (US),7,23,8.5
The Office (US),7,24,8.6
The Office (US),8,1,7.9
The Office (US),8,2,8
The Office (US),8,3,7.1
The Office (US),8,4,8
The Office (US),8,5,7.3
The Office (US),8,6,7.4
The Office (US),8,7,7.5
The Office (US),8,8,6.6
The Office (US),8,9,7.5
The Office (US),8,10,7.7
The Office (US),8,11,7.7
The Office (US),8,12,7.9
The Office (US),8,13,7.3
The Office (US),8,14,7.5
The Office (US),8,15,7.7
The Office (US),8,16,7.9
The Office (US),8,17,7.7
The Office (US),8,18,7.6
The Office (US),8,19,6.4
The Office (US),8,20,6.8
The Office (US),8,21,6.7
The Office (US),8,22,6.9
The Office (US),8,23,7.4
The Office (US),8,24,7.5
The Office (US),9,1,7.4
The Office (US),9,2,6.9
The Office (US),9,3,7.1
The Office (US),9,4,7.6
The Office (US),9,5,6.7
The Office (US),9,6,7.5
The Office (US),9,7,7.4
The Office (US),9,8,7.7
The Office (US),9,9,8.2
The Office (US),9,10,7.4
The Office (US),9,11,7.6
The Office (US),9,12,7.6
The Office (US),9,13,7.3
The Office (US),9,14,7.2
The Office (US),9,15,7
The Office (US),9,16,7.8
The Office (US),9,17,7.3
The Office (US),9,18,7.7
The Office (US),9,19,7.8
The Office (US),9,20,7.8
The Office (US),9,21,9
The Office (US),9,22,9.4
The Office (US),9,23,9.8
New Girl,1,1,7.5
New Girl,1,2,7.2
New Girl,1,3,7.5
New Girl,1,4,7.9
New Girl,1,5,7.7
New Girl,1,6,7.7
New Girl,1,7,7
New Girl,1,8,7.4
New Girl,1,9,7.6
New Girl,1,10,7.6
New Girl,1,11,7.8
New Girl,1,12,8
New Girl,1,13,7.8
New Girl,1,14,7.3
New Girl,1,15,7.8
New Girl,1,16,7.3
New Girl,1,17,7.8
New Girl,1,18,7.9
New Girl,1,19,8.1
New Girl,1,20,7.6
New Girl,1,21,7.8
New Girl,1,22,7.5
New Girl,1,23,7.5
New Girl,1,24,7.8
New Girl,2,1,7.3
New Girl,2,2,7.7
New Girl,2,3,7.6
New Girl,2,4,7.1
New Girl,2,5,7.7
New Girl,2,6,7.8
New Girl,2,7,7.7
New Girl,2,8,7.6
New Girl,2,9,7.5
New Girl,2,10,7.7
New Girl,2,11,8.1
New Girl,2,12,7.7
New Girl,2,13,7
New Girl,2,14,7.9
New Girl,2,15,9
New Girl,2,16,8
New Girl,2,17,8.1
New Girl,2,18,7.7
New Girl,2,19,8.4
New Girl,2,20,7.6
New Girl,2,21,7.7
New Girl,2,22,7.5
New Girl,2,23,8.4
New Girl,2,24,8
New Girl,2,25,8.6
New Girl,3,1,7.7
New Girl,3,2,7.5
New Girl,3,3,7.6
New Girl,3,4,7.4
New Girl,3,5,7.1
New Girl,3,6,7.6
New Girl,3,7,7.6
New Girl,3,8,7.3
New Girl,3,9,7.4
New Girl,3,10,7.3
New Girl,3,11,7.4
New Girl,3,12,7.2
New Girl,3,13,8.3
New Girl,3,14,8.5
New Girl,3,15,7.5
New Girl,3,16,7.2
New Girl,3,17,7.1
New Girl,3,18,7.2
New Girl,3,19,7.6
New Girl,3,20,7.3
New Girl,3,21,7.5
New Girl,3,22,7.4
New Girl,3,23,7.7
New Girl,4,1,7.6
New Girl,4,2,7.5
New Girl,4,3,7.2
New Girl,4,4,7.3
New Girl,4,5,7.9
New Girl,4,6,8.7
New Girl,4,7,8.1
New Girl,4,8,7.9
New Girl,4,9,8.1
New Girl,4,10,7.6
New Girl,4,11,7.5
New Girl,4,12,7.3
New Girl,4,13,7.2
New Girl,4,14,7.1
New Girl,4,15,7.6
New Girl,4,16,7.4
New Girl,4,17,8.2
New Girl,4,18,7.4
New Girl,4,19,7.4
New Girl,4,20,7.3
New Girl,4,21,7.6
New Girl,4,22,9
New Girl,5,1,7.7
New Girl,5,2,7.2
New Girl,5,3,7.5
New Girl,5,4,7.3
New Girl,5,5,7.3
New Girl,5,6,7.5
New Girl,5,7,7.2
New Girl,5,8,7.3
New Girl,5,9,7.3
New Girl,5,10,7.4
New Girl,5,11,7.3
New Girl,5,12,7.8
New Girl,5,13,7.1
New Girl,5,14,7
New Girl,5,15,7.1
New Girl,5,16,7.5
New Girl,5,17,7.6
New Girl,5,18,8.1
New Girl,5,19,7.2
New Girl,5,20,7.4
New Girl,5,21,8.2
New Girl,5,22,8.8
New Girl,6,1,7.5
New Girl,6,2,6.5
New Girl,6,3,7.1
New Girl,6,4,7.4
New Girl,6,5,7.4
New Girl,6,6,7.3
New Girl,6,7,7.1
New Girl,6,8,7.4
New Girl,6,9,7.1
New Girl,6,10,7.5
New Girl,6,11,7.3
New Girl,6,12,7.2
New Girl,6,13,7.3
New Girl,6,14,7.4
New Girl,6,15,7.7
New Girl,6,16,7.7
New Girl,6,17,7
New Girl,6,18,7.5
New Girl,6,19,7.5
New Girl,6,20,7.5
New Girl,6,21,8.1
New Girl,6,22,9.1
New Girl,7,1,7.2
New Girl,7,2,7.1
New Girl,7,3,7.2
New Girl,7,4,7.4
New Girl,7,5,7.2
New Girl,7,6,7.8
New Girl,7,7,7.9
New Girl,7,8,8.3
Cheers,1,1,8.2
Cheers,1,2,7.6
Cheers,1,3,7.5
Cheers,1,4,7.6
Cheers,1,5,7.9
Cheers,1,6,7.7
Cheers,1,7,7.3
Cheers,1,8,8
Cheers,1,9,7.6
Cheers,1,10,8.2
Cheers,1,11,7.7
Cheers,1,12,7.5
Cheers,1,13,7.3
Cheers,1,14,7.4
Cheers,1,15,7
Cheers,1,16,7.9
Cheers,1,17,8.1
Cheers,1,18,7.4
Cheers,1,19,8.5
Cheers,1,20,7.4
Cheers,1,21,7.7
Cheers,1,22,8.2
Cheers,2,1,7.7
Cheers,2,2,7.3
Cheers,2,3,7.4
Cheers,2,4,7.9
Cheers,2,5,7.6
Cheers,2,6,7.4
Cheers,2,7,7.5
Cheers,2,8,7.4
Cheers,2,9,7.4
Cheers,2,10,7.4
Cheers,2,11,7.5
Cheers,2,12,7.6
Cheers,2,13,7.6
Cheers,2,14,7.5
Cheers,2,15,7.6
Cheers,2,16,7.9
Cheers,2,17,7.5
Cheers,2,18,7.5
Cheers,2,19,7.5
Cheers,2,20,7.2
Cheers,2,21,7.4
Cheers,2,22,7.9
Cheers,3,1,7.9
Cheers,3,2,7.9
Cheers,3,3,8
Cheers,3,4,8.1
Cheers,3,5,7.5
Cheers,3,6,7.6
Cheers,3,7,7.4
Cheers,3,8,7.5
Cheers,3,9,7.1
Cheers,3,10,7.5
Cheers,3,11,7.4
Cheers,3,12,7.5
Cheers,3,13,7.5
Cheers,3,14,8.2
Cheers,3,15,7.3
Cheers,3,16,7.5
Cheers,3,17,7.8
Cheers,3,18,7.5
Cheers,3,19,7.7
Cheers,3,20,7.3
Cheers,3,21,7.9
Cheers,3,22,8.1
Cheers,3,23,8.1
Cheers,3,24,7.3
Cheers,3,25,7.8
Cheers,4,1,7.7
Cheers,4,2,7.4
Cheers,4,3,7.3
Cheers,4,4,7.3
Cheers,4,5,7.9
Cheers,4,6,7.8
Cheers,4,7,7.5
Cheers,4,8,7.3
Cheers,4,9,7.8
Cheers,4,10,7.3
Cheers,4,11,7.7
Cheers,4,12,7.7
Cheers,4,13,7.3
Cheers,4,14,8
Cheers,4,15,7.8
Cheers,4,16,7.7
Cheers,4,17,7.9
Cheers,4,18,7.5
Cheers,4,19,7.8
Cheers,4,20,7
Cheers,4,21,7.7
Cheers,4,22,7.8
Cheers,4,23,7.4
Cheers,4,24,7.8
Cheers,4,25,7.8
Cheers,4,26,7.9
Cheers,5,1,8
Cheers,5,2,7.4
Cheers,5,3,7.3
Cheers,5,4,8.6
Cheers,5,5,7.5
Cheers,5,6,7.6
Cheers,5,7,7.7
Cheers,5,8,7.5
Cheers,5,9,8.6
Cheers,5,10,8
Cheers,5,11,7.5
Cheers,5,12,7.5
Cheers,5,13,7.6
Cheers,5,14,7.5
Cheers,5,15,7.3
Cheers,5,16,7.4
Cheers,5,17,7.4
Cheers,5,18,7.9
Cheers,5,19,7.5
Cheers,5,20,8.8
Cheers,5,21,8.6
Cheers,5,22,7.4
Cheers,5,23,7.4
Cheers,5,24,7.8
Cheers,5,25,7.1
Cheers,5,26,8.5
Cheers,6,1,8
Cheers,6,2,7.5
Cheers,6,3,7.2
Cheers,6,4,7.1
Cheers,6,5,8.1
Cheers,6,6,7.8
Cheers,6,7,7.6
Cheers,6,8,8.3
Cheers,6,9,7.5
Cheers,6,10,7.7
Cheers,6,11,7.3
Cheers,6,12,7.7
Cheers,6,13,7.8
Cheers,6,14,8.1
Cheers,6,15,7.3
Cheers,6,16,7.5
Cheers,6,17,7.8
Cheers,6,18,7.7
Cheers,6,19,7.2
Cheers,6,20,7.5
Cheers,6,21,7.6
Cheers,6,22,7.2
Cheers,6,23,7.9
Cheers,6,24,8.2
Cheers,6,25,7.7
Cheers,7,1,7.6
Cheers,7,2,7.6
Cheers,7,3,7.3
Cheers,7,4,7.4
Cheers,7,5,7.2
Cheers,7,6,8.2
Cheers,7,7,8.1
Cheers,7,8,7.9
Cheers,7,9,7.8
Cheers,7,10,8.1
Cheers,7,11,7.5
Cheers,7,12,7.6
Cheers,7,13,8.1
Cheers,7,14,7.8
Cheers,7,15,7.6
Cheers,7,16,7.7
Cheers,7,17,7.3
Cheers,7,18,7.5
Cheers,7,19,7.8
Cheers,7,20,7.3
Cheers,7,21,8.2
Cheers,7,22,7.4
Cheers,8,1,7.8
Cheers,8,2,7.6
Cheers,8,3,7.5
Cheers,8,4,7.3
Cheers,8,5,7.7
Cheers,8,6,8.1
Cheers,8,7,7.6
Cheers,8,8,7.3
Cheers,8,9,7.6
Cheers,8,10,7.4
Cheers,8,11,7.5
Cheers,8,12,7.2
Cheers,8,13,7.1
Cheers,8,14,7.3
Cheers,8,15,7.8
Cheers,8,16,7.6
Cheers,8,17,7.5
Cheers,8,18,7.7
Cheers,8,19,8
Cheers,8,20,7.4
Cheers,8,21,7.7
Cheers,8,22,7.5
Cheers,8,23,7.2
Cheers,8,24,7.3
Cheers,8,25,7.5
Cheers,8,26,8
Cheers,9,1,7.4
Cheers,9,2,7.5
Cheers,9,3,7.9
Cheers,9,4,7.2
Cheers,9,5,7.4
Cheers,9,6,7.2
Cheers,9,7,7.7
Cheers,9,8,7.4
Cheers,9,9,7.9
Cheers,9,10,8.1
Cheers,9,11,7.7
Cheers,9,12,7.7
Cheers,9,13,6.9
Cheers,9,14,7.5
Cheers,9,15,8
Cheers,9,16,7.6
Cheers,9,17,7.8
Cheers,9,18,7.4
Cheers,9,19,7.2
Cheers,9,20,7.6
Cheers,9,21,7.3
Cheers,9,22,7.7
Cheers,9,23,7.3
Cheers,9,24,7.7
Cheers,9,25,7.5
Cheers,9,26,7.5
Cheers,10,1,7.2
Cheers,10,2,7.7
Cheers,10,3,6.6
Cheers,10,4,7.8
Cheers,10,5,7.3
Cheers,10,6,7.5
Cheers,10,7,8.1
Cheers,10,8,7.7
Cheers,10,9,7.3
Cheers,10,10,7.3
Cheers,10,11,7.7
Cheers,10,12,7.2
Cheers,10,13,7.4
Cheers,10,14,7.8
Cheers,10,15,7.3
Cheers,10,16,8.5
Cheers,10,17,7.3
Cheers,10,18,7.7
Cheers,10,19,7.5
Cheers,10,20,7.8
Cheers,10,21,7.2
Cheers,10,22,7.4
Cheers,10,23,8.2
Cheers,10,24,8.1
Cheers,10,25,8.6
Cheers,11,1,7.9
Cheers,11,2,7.8
Cheers,11,3,7.6
Cheers,11,4,7.7
Cheers,11,5,7.6
Cheers,11,6,7.5
Cheers,11,7,7.7
Cheers,11,8,7.9
Cheers,11,9,7.3
Cheers,11,10,7.4
Cheers,11,11,7.6
Cheers,11,12,7.9
Cheers,11,13,7.4
Cheers,11,14,7.5
Cheers,11,15,7.4
Cheers,11,16,8.1
Cheers,11,17,8.2
Cheers,11,18,7.5
Cheers,11,19,8.3
Cheers,11,20,7.8
Cheers,11,21,8.2
Cheers,11,22,8.3
Cheers,11,23,7.6
Cheers,11,24,7.7
Cheers,11,25,9.1
Friends,1,1,8.1
Friends,1,2,7.9
Friends,1,3,8
Friends,1,4,7.9
Friends,1,5,8.3
Friends,1,6,8
Friends,1,7,8.9
Friends,1,8,7.9
Friends,1,9,8.1
Friends,1,10,7.9
Friends,1,11,8
Friends,1,12,8
Friends,1,13,8.5
Friends,1,14,8.1
Friends,1,15,8.1
Friends,1,16,8
Friends,1,17,8.3
Friends,1,18,8.7
Friends,1,19,7.9
Friends,1,20,7.7
Friends,1,21,7.6
Friends,1,22,8.1
Friends,1,23,8.6
Friends,1,24,8.7
Friends,2,1,8.4
Friends,2,2,8
Friends,2,3,8.2
Friends,2,4,7.8
Friends,2,5,8.1
Friends,2,6,8.4
Friends,2,7,8.9
Friends,2,8,8.4
Friends,2,9,7.8
Friends,2,10,7.8
Friends,2,11,7.9
Friends,2,12,8.5
Friends,2,13,8.6
Friends,2,14,9.3
Friends,2,15,8.7
Friends,2,16,8.5
Friends,2,17,8.1
Friends,2,18,8.3
Friends,2,19,8.4
Friends,2,20,8
Friends,2,21,8
Friends,2,22,8.9
Friends,2,23,7.9
Friends,2,24,8.1
Friends,3,1,8.3
Friends,3,2,8.9
Friends,3,3,7.9
Friends,3,4,7.9
Friends,3,5,8
Friends,3,6,9
Friends,3,7,8.1
Friends,3,8,8.2
Friends,3,9,8.9
Friends,3,10,8
Friends,3,11,8.4
Friends,3,12,8.1
Friends,3,13,8.1
Friends,3,14,7.7
Friends,3,15,8.4
Friends,3,16,9
Friends,3,17,8.2
Friends,3,18,8.2
Friends,3,19,8
Friends,3,20,7.9
Friends,3,21,8.6
Friends,3,22,8.1
Friends,3,23,7.9
Friends,3,24,8
Friends,3,25,8.7
Friends,4,1,8.9
Friends,4,2,7.9
Friends,4,3,8.4
Friends,4,4,8
Friends,4,5,8.3
Friends,4,6,8.4
Friends,4,7,8.6
Friends,4,8,9
Friends,4,9,7.7
Friends,4,10,7.9
Friends,4,11,8.4
Friends,4,12,9.4
Friends,4,13,8.1
Friends,4,14,8.1
Friends,4,15,8.4
Friends,4,16,8.1
Friends,4,17,8.5
Friends,4,18,8.1
Friends,4,19,8.6
Friends,4,20,8.4
Friends,4,21,6.9
Friends,4,22,8.3
Friends,4,23,8.6
Friends,4,24,9.1
Friends,5,1,8.8
Friends,5,2,8.9
Friends,5,3,8.7
Friends,5,4,8.1
Friends,5,5,8.6
Friends,5,6,7.9
Friends,5,7,8.2
Friends,5,8,9
Friends,5,9,9
Friends,5,10,8
Friends,5,11,9
Friends,5,12,8.1
Friends,5,13,7.9
Friends,5,14,9.7
Friends,5,15,8.4
Friends,5,16,8.5
Friends,5,17,8.3
Friends,5,18,7.8
Friends,5,19,8.6
Friends,5,20,8.1
Friends,5,21,8.3
Friends,5,22,8.1
Friends,5,23,8.7
Friends,5,24,9
Friends,6,1,8.6
Friends,6,2,8
Friends,6,3,8
Friends,6,4,8.4
Friends,6,5,8
Friends,6,6,8.4
Friends,6,7,8.2
Friends,6,8,8.3
Friends,6,9,9.1
Friends,6,10,8.5
Friends,6,11,7.9
Friends,6,12,7.8
Friends,6,13,8.1
Friends,6,14,8.4
Friends,6,15,8.3
Friends,6,16,8.4
Friends,6,17,9
Friends,6,18,8.2
Friends,6,19,8.1
Friends,6,20,7.2
Friends,6,21,8.5
Friends,6,22,8.9
Friends,6,23,8.4
Friends,6,24,8.6
Friends,6,25,9.2
Friends,7,1,8.3
Friends,7,2,8.1
Friends,7,3,8
Friends,7,4,7.9
Friends,7,5,7.9
Friends,7,6,8.7
Friends,7,7,8.3
Friends,7,8,8
Friends,7,9,8
Friends,7,10,8.4
Friends,7,11,8.4
Friends,7,12,8.5
Friends,7,13,8.3
Friends,7,14,8.4
Friends,7,15,8.3
Friends,7,16,8.6
Friends,7,17,8.2
Friends,7,18,8.2
Friends,7,19,8.5
Friends,7,20,8.2
Friends,7,21,7.2
Friends,7,22,8.2
Friends,7,23,8.7
Friends,7,24,9.1
Friends,8,1,8.6
Friends,8,2,9
Friends,8,3,8.6
Friends,8,4,9.2
Friends,8,5,7.9
Friends,8,6,8.4
Friends,8,7,7.7
Friends,8,8,8.6
Friends,8,9,9.2
Friends,8,10,7.9
Friends,8,11,7.8
Friends,8,12,8.4
Friends,8,13,8.4
Friends,8,14,8
Friends,8,15,8.2
Friends,8,16,8.1
Friends,8,17,7.9
Friends,8,18,8
Friends,8,19,7.2
Friends,8,20,8.1
Friends,8,21,8
Friends,8,22,8.2
Friends,8,23,8.7
Friends,8,24,8.8
Friends,9,1,8.5
Friends,9,2,8.4
Friends,9,3,8.1
Friends,9,4,8
Friends,9,5,8.3
Friends,9,6,8.2
Friends,9,7,8.5
Friends,9,8,8.7
Friends,9,9,8
Friends,9,10,7.2
Friends,9,11,7.8
Friends,9,12,7.7
Friends,9,13,8
Friends,9,14,8
Friends,9,15,8.2
Friends,9,16,8
Friends,9,17,8.3
Friends,9,18,8.5
Friends,9,19,7.9
Friends,9,20,8.1
Friends,9,21,8.1
Friends,9,22,7.6
Friends,9,23,8.5
Friends,10,1,8.4
Friends,10,2,8.7
Friends,10,3,8.6
Friends,10,4,8.2
Friends,10,5,8
Friends,10,6,8
Friends,10,7,8.1
Friends,10,8,8.8
Friends,10,9,8.4
Friends,10,10,7.8
Friends,10,11,8.9
Friends,10,12,8.8
Friends,10,13,8.3
Friends,10,14,8.5
Friends,10,15,8.4
Friends,10,16,8.8
Friends,10,17,9.6
The X-Files,1,1,8.2
The X-Files,1,2,8
The X-Files,1,3,8.5
The X-Files,1,4,7.5
The X-Files,1,5,6.9
The X-Files,1,6,7.2
The X-Files,1,7,6.7
The X-Files,1,8,8.7
The X-Files,1,9,6.2
The X-Files,1,10,7.8
The X-Files,1,11,8.1
The X-Files,1,12,7.3
The X-Files,1,13,8.6
The X-Files,1,14,7.3
The X-Files,1,15,7
The X-Files,1,16,7.2
The X-Files,1,17,8.4
The X-Files,1,18,7.1
The X-Files,1,19,7
The X-Files,1,20,8.4
The X-Files,1,21,8.3
The X-Files,1,22,7.1
The X-Files,1,23,7.2
The X-Files,1,24,9
The X-Files,2,1,8
The X-Files,2,2,8.2
The X-Files,2,3,7.4
The X-Files,2,4,7.7
The X-Files,2,5,8.6
The X-Files,2,6,8.6
The X-Files,2,7,6.3
The X-Files,2,8,8.3
The X-Files,2,9,7.1
The X-Files,2,10,7.6
The X-Files,2,11,6.9
The X-Files,2,12,7.3
The X-Files,2,13,8
The X-Files,2,14,8.1
The X-Files,2,15,7.1
The X-Files,2,16,8.7
The X-Files,2,17,8.7
The X-Files,2,18,6.5
The X-Files,2,19,7.5
The X-Files,2,20,8.6
The X-Files,2,21,7.5
The X-Files,2,22,8
The X-Files,2,23,7.8
The X-Files,2,24,7.8
The X-Files,2,25,9.1
The X-Files,3,1,8.6
The X-Files,3,2,9
The X-Files,3,3,7.8
The X-Files,3,4,9.2
The X-Files,3,5,7.1
The X-Files,3,6,7.4
The X-Files,3,7,7.1
The X-Files,3,8,7.7
The X-Files,3,9,8.5
The X-Files,3,10,8.7
The X-Files,3,11,7.2
The X-Files,3,12,8.7
The X-Files,3,13,7.6
The X-Files,3,14,7.3
The X-Files,3,15,8.4
