Show,Season,Episode,Rating
The X-Files,3,16,8.6
The X-Files,3,17,8.5
The X-Files,3,18,5.9
The X-Files,3,19,7
The X-Files,3,20,8.9
The X-Files,3,21,7.6
The X-Files,3,22,8.1
The X-Files,3,23,8.3
The X-Files,3,24,8.6
The X-Files,4,1,8.4
The X-Files,4,2,8.8
The X-Files,4,3,6.6
The X-Files,4,4,8
The X-Files,4,5,6.7
The X-Files,4,6,7.3
The X-Files,4,7,9
The X-Files,4,8,8.5
The X-Files,4,9,8.1
The X-Files,4,10,8.7
The X-Files,4,11,6.7
The X-Files,4,12,8.3
The X-Files,4,13,7.5
The X-Files,4,14,8.4
The X-Files,4,15,6.9
The X-Files,4,16,7.2
The X-Files,4,17,8.4
The X-Files,4,18,8.4
The X-Files,4,19,7.7
The X-Files,4,20,8.9
The X-Files,4,21,8.1
The X-Files,4,22,7.8
The X-Files,4,23,7.8
The X-Files,4,24,8.6
The X-Files,5,1,8.6
The X-Files,5,2,9
The X-Files,5,3,8.4
The X-Files,5,4,8.1
The X-Files,5,5,8.5
The X-Files,5,6,7.7
The X-Files,5,7,7.6
The X-Files,5,8,7.7
The X-Files,5,9,7
The X-Files,5,10,7.5
The X-Files,5,11,7.8
The X-Files,5,12,9.2
The X-Files,5,13,8.2
The X-Files,5,14,8.3
The X-Files,5,15,7.4
The X-Files,5,16,7.7
The X-Files,5,17,7.3
The X-Files,5,18,8
The X-Files,5,19,8.5
The X-Files,5,20,8.8
The X-Files,6,1,8.1
The X-Files,6,2,8.5
The X-Files,6,3,8.6
The X-Files,6,4,9
The X-Files,6,5,8.8
The X-Files,6,6,8.2
The X-Files,6,7,7.7
The X-Files,6,8,7.3
The X-Files,6,9,7.8
The X-Files,6,10,8.3
The X-Files,6,11,8.6
The X-Files,6,12,8.8
The X-Files,6,13,7.3
The X-Files,6,14,8.8
The X-Files,6,15,8.4
The X-Files,6,16,6.4
The X-Files,6,17,7.2
The X-Files,6,18,7.6
The X-Files,6,19,8.4
The X-Files,6,20,7.9
The X-Files,6,21,8.5
The X-Files,6,22,8.2
The X-Files,7,1,7.8
The X-Files,7,2,7.8
The X-Files,7,3,7.8
The X-Files,7,4,7.8
The X-Files,7,5,7.3
The X-Files,7,6,8.2
The X-Files,7,7,7.5
The X-Files,7,8,8.1
The X-Files,7,9,6.6
The X-Files,7,10,8
The X-Files,7,11,8.1
The X-Files,7,12,8.4
The X-Files,7,13,6.1
The X-Files,7,14,7.3
The X-Files,7,15,8
The X-Files,7,16,7.4
The X-Files,7,17,7.1
The X-Files,7,18,7.5
The X-Files,7,19,7.3
The X-Files,7,20,6
The X-Files,7,21,8.4
The X-Files,7,22,8.6
The X-Files,8,1,8.2
The X-Files,8,2,8.3
The X-Files,8,3,7.5
The X-Files,8,4,8
The X-Files,8,5,7.6
The X-Files,8,6,8.3
The X-Files,8,7,7.5
The X-Files,8,8,6.8
The X-Files,8,9,6.8
The X-Files,8,10,6.8
The X-Files,8,11,7.7
The X-Files,8,12,7.3
The X-Files,8,13,7.8
The X-Files,8,14,8.3
The X-Files,8,15,8.2
The X-Files,8,16,8.1
The X-Files,8,17,7.1
The X-Files,8,18,7.8
The X-Files,8,19,7.8
The X-Files,8,20,8.4
The X-Files,8,21,8.7
The X-Files,9,1,7.3
The X-Files,9,2,7.3
The X-Files,9,3,7.1
The X-Files,9,4,7.8
The X-Files,9,5,6.9
The X-Files,9,6,7.4
The X-Files,9,7,7.4
The X-Files,9,8,7
The X-Files,9,9,7.4
The X-Files,9,10,7.2
The X-Files,9,11,7.5
The X-Files,9,12,7
The X-Files,9,13,7.3
The X-Files,9,14,7.3
The X-Files,9,15,7.3
The X-Files,9,16,7.6
The X-Files,9,17,8.1
The X-Files,9,18,7.6
The X-Files,9,19,8.2
The X-Files,10,1,7.8
The X-Files,10,2,7.8
The X-Files,10,3,8
The X-Files,10,4,7.2
The X-Files,10,5,6.4
The X-Files,10,6,7
The X-Files,11,1,6.4
The X-Files,11,2,7.2
The X-Files,11,3,7.8
The X-Files,11,4,8.2
The X-Files,11,5,7.9
The X-Files,11,6,7.3
The X-Files,11,7,8
The X-Files,11,8,8
The X-Files,11,9,6.6
The X-Files,11,10,7.3
Bones,1,1,7.6
Bones,1,2,7.3
Bones,1,3,7.5
Bones,1,4,7.8
Bones,1,5,7.8
Bones,1,6,7.4
Bones,1,7,8.1
Bones,1,8,7.9
Bones,1,9,8.6
Bones,1,10,7.5
Bones,1,11,7.7
Bones,1,12,7.7
Bones,1,13,7.5
Bones,1,14,7.4
Bones,1,15,8.4
Bones,1,16,7.6
Bones,1,17,7.5
Bones,1,18,7.5
Bones,1,19,8
Bones,1,20,8.2
Bones,1,21,7.5
Bones,1,22,8.6
Bones,2,1,7.5
Bones,2,2,7.7
Bones,2,3,7.7
Bones,2,4,8.1
Bones,2,5,7.6
Bones,2,6,7.5
Bones,2,7,7.6
Bones,2,8,7.9
Bones,2,9,9.2
Bones,2,10,7.7
Bones,2,11,8.5
Bones,2,12,8.6
Bones,2,13,7.7
Bones,2,14,7.6
Bones,2,15,8
Bones,2,16,7.3
Bones,2,17,7.7
Bones,2,18,7.9
Bones,2,19,7.5
Bones,2,20,7.7
Bones,2,21,8.1
Bones,3,1,7.8
Bones,3,2,7.5
Bones,3,3,7.2
Bones,3,4,7.5
Bones,3,5,8.2
Bones,3,6,7.7
Bones,3,7,7.6
Bones,3,8,8.2
Bones,3,9,8.4
Bones,3,10,7.4
Bones,3,11,7.5
Bones,3,12,8
Bones,3,13,8.4
Bones,3,14,8.5
Bones,3,15,8.2
Bones,4,1,7.5
Bones,4,2,7.5
Bones,4,3,7.3
Bones,4,4,7.6
Bones,4,5,8.1
Bones,4,6,7.3
Bones,4,7,7.6
Bones,4,8,7.4
Bones,4,9,7.7
Bones,4,10,8.2
Bones,4,11,7.5
Bones,4,12,8.1
Bones,4,13,7.6
Bones,4,14,8.6
Bones,4,15,7.6
Bones,4,16,7.5
Bones,4,17,7.5
Bones,4,18,7.7
Bones,4,19,7.6
Bones,4,20,7.5
Bones,4,21,8
Bones,4,22,8.5
Bones,4,23,7.7
Bones,4,24,7.3
Bones,4,25,8.1
Bones,4,26,7.7
Bones,5,1,7.9
Bones,5,2,7.9
Bones,5,3,7.8
Bones,5,4,7.5
Bones,5,5,7.9
Bones,5,6,7.3
Bones,5,7,7.7
Bones,5,8,7.8
Bones,5,9,7.5
Bones,5,10,8.1
Bones,5,11,7.8
Bones,5,12,8.5
Bones,5,13,7.4
Bones,5,14,7.6
Bones,5,15,7.7
Bones,5,16,8.7
Bones,5,17,8.2
Bones,5,18,7.5
Bones,5,19,7.2
Bones,5,20,8
Bones,5,21,8.5
Bones,5,22,8.2
Bones,6,1,8.1
Bones,6,2,7.3
Bones,6,3,7.4
Bones,6,4,7.7
Bones,6,5,7.5
Bones,6,6,7.9
Bones,6,7,7.4
Bones,6,8,7.4
Bones,6,9,8.7
Bones,6,10,7.5
Bones,6,11,8.4
Bones,6,12,7.3
Bones,6,13,7.6
Bones,6,14,7.6
Bones,6,15,7.8
Bones,6,16,8.3
Bones,6,17,7.6
Bones,6,18,7.4
Bones,6,19,7.4
Bones,6,20,7.3
Bones,6,21,8.7
Bones,6,22,9.1
Bones,6,23,8.5
Bones,7,1,7.9
Bones,7,2,7.8
Bones,7,3,7.7
Bones,7,4,7.7
Bones,7,5,7.6
Bones,7,6,8.5
Bones,7,7,7.8
Bones,7,8,7.7
Bones,7,9,7.5
Bones,7,10,7.5
Bones,7,11,7.5
Bones,7,12,7.9
Bones,7,13,8.7
Bones,8,1,8.5
Bones,8,2,7.6
Bones,8,3,7.9
Bones,8,4,7.4
Bones,8,5,7.5
Bones,8,6,8.8
Bones,8,7,7.6
Bones,8,8,7.5
Bones,8,9,6.7
Bones,8,10,7
Bones,8,11,7.5
Bones,8,12,8.5
Bones,8,13,7.3
Bones,8,14,7.3
Bones,8,15,7.7
Bones,8,16,7.7
Bones,8,17,7.4
Bones,8,18,7.5
Bones,8,19,7.4
Bones,8,20,7.3
Bones,8,21,7.2
Bones,8,22,7.3
Bones,8,23,8.3
Bones,8,24,7.7
Bones,9,1,7.7
Bones,9,2,7.6
Bones,9,3,7.5
Bones,9,4,8.2
Bones,9,5,7.5
Bones,9,6,8.5
Bones,9,7,7.3
Bones,9,8,7.3
Bones,9,9,7.7
Bones,9,10,7.6
Bones,9,11,7.7
Bones,9,12,7.6
Bones,9,13,8.2
Bones,9,14,7.7
Bones,9,15,7.6
Bones,9,16,7.5
Bones,9,17,7.3
Bones,9,18,6.9
Bones,9,19,7.4
Bones,9,20,7.6
Bones,9,21,7.3
Bones,9,22,7.8
Bones,9,23,7.5
Bones,9,24,8.9
Bones,10,1,8.5
Bones,10,2,8.2
Bones,10,3,7.1
Bones,10,4,7.3
Bones,10,5,7.7
Bones,10,6,7.6
Bones,10,7,7.2
Bones,10,8,7.4
Bones,10,9,7.3
Bones,10,10,7.5
Bones,10,11,7.1
Bones,10,12,7.4
Bones,10,13,7.1
Bones,10,14,7.2
Bones,10,15,7.5
Bones,10,16,7.2
Bones,10,17,7.5
Bones,10,18,7.6
Bones,10,19,7.5
Bones,10,20,7.3
Bones,10,21,7.4
Bones,10,22,7.8
Bones,11,1,8
Bones,11,2,7.9
Bones,11,3,7.4
Bones,11,4,7.7
Bones,11,5,7.4
Bones,11,6,7.5
Bones,11,7,7.2
Bones,11,8,7.5
Bones,11,9,7.8
Bones,11,10,8.5
Bones,11,11,7.5
Bones,11,12,6.9
Bones,11,13,8.2
Bones,11,14,7.7
Bones,11,15,7.6
Bones,11,16,7.1
Bones,11,17,7.8
Bones,11,18,7.8
Bones,11,19,7.5
Bones,11,20,7.7
Bones,11,21,7.7
Bones,11,22,8.9
Bones,12,1,8.2
Bones,12,2,7.5
Bones,12,3,7.5
Bones,12,4,7.8
Bones,12,5,7.4
Bones,12,6,7.4
Bones,12,7,8
Bones,12,8,7.6
Bones,12,9,7.3
Bones,12,10,7.1
Bones,12,11,8.5
Bones,12,12,8.2
Gilmore Girls,1,1,8.1
Gilmore Girls,1,2,8
Gilmore Girls,1,3,7.8
Gilmore Girls,1,4,7.9
Gilmore Girls,1,5,7.8
Gilmore Girls,1,6,8.5
Gilmore Girls,1,7,8.4
Gilmore Girls,1,8,8.1
Gilmore Girls,1,9,8.7
Gilmore Girls,1,10,8.3
Gilmore Girls,1,11,7.7
Gilmore Girls,1,12,7.8
Gilmore Girls,1,13,8
Gilmore Girls,1,14,7.9
Gilmore Girls,1,15,8.1
Gilmore Girls,1,16,8.1
Gilmore Girls,1,17,8.1
Gilmore Girls,1,18,8
Gilmore Girls,1,19,8.1
Gilmore Girls,1,20,8
Gilmore Girls,1,21,8.5
Gilmore Girls,2,1,8.1
Gilmore Girls,2,2,8
Gilmore Girls,2,3,7.9
Gilmore Girls,2,4,8.1
Gilmore Girls,2,5,8.1
Gilmore Girls,2,6,8.1
Gilmore Girls,2,7,8.2
Gilmore Girls,2,8,7.9
Gilmore Girls,2,9,7.9
Gilmore Girls,2,10,8.6
Gilmore Girls,2,11,7.6
Gilmore Girls,2,12,7.9
Gilmore Girls,2,13,8.4
Gilmore Girls,2,14,7.8
Gilmore Girls,2,15,8
Gilmore Girls,2,16,8.4
Gilmore Girls,2,17,7.9
Gilmore Girls,2,18,7.8
Gilmore Girls,2,19,8.5
Gilmore Girls,2,20,7.9
Gilmore Girls,2,21,8.6
Gilmore Girls,2,22,8.7
Gilmore Girls,3,1,8.1
Gilmore Girls,3,2,8
Gilmore Girls,3,3,7.7
Gilmore Girls,3,4,7.9
Gilmore Girls,3,5,7.7
Gilmore Girls,3,6,7.8
Gilmore Girls,3,7,8.9
Gilmore Girls,3,8,8.4
Gilmore Girls,3,9,8.4
Gilmore Girls,3,10,8
Gilmore Girls,3,11,7.5
Gilmore Girls,3,12,7.6
Gilmore Girls,3,13,8.6
Gilmore Girls,3,14,7.9
Gilmore Girls,3,15,7.9
Gilmore Girls,3,16,8.4
Gilmore Girls,3,17,8.1
Gilmore Girls,3,18,7.9
Gilmore Girls,3,19,8.3
Gilmore Girls,3,20,8
Gilmore Girls,3,21,7.7
Gilmore Girls,3,22,8.9
Gilmore Girls,4,1,7.9
Gilmore Girls,4,2,8.5
Gilmore Girls,4,3,7.9
Gilmore Girls,4,4,7.9
Gilmore Girls,4,5,7.9
Gilmore Girls,4,6,7.7
Gilmore Girls,4,7,8.1
Gilmore Girls,4,8,7.6
Gilmore Girls,4,9,8
Gilmore Girls,4,10,7.7
Gilmore Girls,4,11,8.1
Gilmore Girls,4,12,7.9
Gilmore Girls,4,13,8.2
Gilmore Girls,4,14,8.5
Gilmore Girls,4,15,8.2
Gilmore Girls,4,16,8.2
Gilmore Girls,4,17,8
Gilmore Girls,4,18,8.1
Gilmore Girls,4,19,7.9
Gilmore Girls,4,20,8.5
Gilmore Girls,4,21,8.8
Gilmore Girls,4,22,9.3
Gilmore Girls,5,1,8.1
Gilmore Girls,5,2,7.9
Gilmore Girls,5,3,8.4
Gilmore Girls,5,4,7.8
Gilmore Girls,5,5,7.7
Gilmore Girls,5,6,7.7
Gilmore Girls,5,7,8.5
Gilmore Girls,5,8,7.9
Gilmore Girls,5,9,7.8
Gilmore Girls,5,10,8.2
Gilmore Girls,5,11,7.8
Gilmore Girls,5,12,8
Gilmore Girls,5,13,8.8
Gilmore Girls,5,14,8.6
Gilmore Girls,5,15,8
Gilmore Girls,5,16,8.6
Gilmore Girls,5,17,8
Gilmore Girls,5,18,7.6
Gilmore Girls,5,19,8.2
Gilmore Girls,5,20,7.5
Gilmore Girls,5,21,7.8
Gilmore Girls,5,22,8.5
Gilmore Girls,6,1,7.7
Gilmore Girls,6,2,7.5
Gilmore Girls,6,3,7.4
Gilmore Girls,6,4,7.3
Gilmore Girls,6,5,8.3
Gilmore Girls,6,6,7.7
Gilmore Girls,6,7,7.9
Gilmore Girls,6,8,8.5
Gilmore Girls,6,9,8.4
Gilmore Girls,6,10,7.4
Gilmore Girls,6,11,7.7
Gilmore Girls,6,12,7.6
Gilmore Girls,6,13,9
Gilmore Girls,6,14,7.9
Gilmore Girls,6,15,7.6
Gilmore Girls,6,16,7.5
Gilmore Girls,6,17,7.5
Gilmore Girls,6,18,7.8
Gilmore Girls,6,19,8.3
Gilmore Girls,6,20,7.8
Gilmore Girls,6,21,7.8
Gilmore Girls,6,22,7.9
Gilmore Girls,7,1,7.5
Gilmore Girls,7,2,7.3
Gilmore Girls,7,3,7.3
Gilmore Girls,7,4,7.4
Gilmore Girls,7,5,7.2
Gilmore Girls,7,6,7.1
Gilmore Girls,7,7,6.4
Gilmore Girls,7,8,7.1
Gilmore Girls,7,9,7.2
Gilmore Girls,7,10,7.3
Gilmore Girls,7,11,7.4
Gilmore Girls,7,12,7.9
Gilmore Girls,7,13,8
Gilmore Girls,7,14,7.5
Gilmore Girls,7,15,7.7
Gilmore Girls,7,16,7.9
Gilmore Girls,7,17,7.6
Gilmore Girls,7,18,7.8
Gilmore Girls,7,19,8
Gilmore Girls,7,20,8.5
Gilmore Girls,7,21,8.2
Gilmore Girls,7,22,9.1
Moonlighting,1,1,7.5
Moonlighting,1,2,7.3
Moonlighting,1,3,7.1
Moonlighting,1,4,7.6
Moonlighting,1,5,7.3
Moonlighting,1,6,7.5
Moonlighting,2,1,7.6
Moonlighting,2,2,7.7
Moonlighting,2,3,7.3
Moonlighting,2,4,8.3
Moonlighting,2,5,7.4
Moonlighting,2,6,7.6
Moonlighting,2,7,7.4
Moonlighting,2,8,7.3
Moonlighting,2,9,7.4
Moonlighting,2,10,7.7
Moonlighting,2,11,7.5
Moonlighting,2,12,7.2
Moonlighting,2,13,7.4
Moonlighting,2,14,7.7
Moonlighting,2,15,7.6
Moonlighting,2,16,7.3
Moonlighting,2,17,7.4
Moonlighting,2,18,6.9
Moonlighting,3,1,7.3
Moonlighting,3,2,7.5
Moonlighting,3,3,7.5
Moonlighting,3,4,7.2
Moonlighting,3,5,7.3
Moonlighting,3,6,7.8
Moonlighting,3,7,8.4
Moonlighting,3,8,7.6
Moonlighting,3,9,6.4
Moonlighting,3,10,6.8
Moonlighting,3,11,7.5
Moonlighting,3,12,7.4
Moonlighting,3,13,7.7
Moonlighting,3,14,8
Moonlighting,3,15,7.4
Moonlighting,4,1,6.8
Moonlighting,4,2,6.8
Moonlighting,4,3,6.9
Moonlighting,4,4,6.6
Moonlighting,4,5,7
Moonlighting,4,6,7
Moonlighting,4,7,7.1
Moonlighting,4,8,6.7
Moonlighting,4,9,6.9
Moonlighting,4,10,6.6
Moonlighting,4,11,7.1
Moonlighting,4,12,6.9
Moonlighting,4,13,6.8
Moonlighting,4,14,7.3
Moonlighting,5,1,6.4
Moonlighting,5,2,6.8
Moonlighting,5,3,6.9
Moonlighting,5,4,7.3
Moonlighting,5,5,7
Moonlighting,5,6,7.1
Moonlighting,5,7,6.7
Moonlighting,5,8,7.2
Moonlighting,5,9,7.2
Moonlighting,5,10,7.3
Moonlighting,5,11,6.7
Moonlighting,5,12,7.1
Moonlighting,5,13,7.5
Castle,1,1,8.3
Castle,1,2,7.6
Castle,1,3,7.7
Castle,1,4,7.6
Castle,1,5,8
Castle,1,6,7.6
Castle,1,7,8
Castle,1,8,7.8
Castle,1,9,7.7
Castle,1,10,8.2
Castle,2,1,8
Castle,2,2,8.2
Castle,2,3,7.8
Castle,2,4,8.3
Castle,2,5,8.2
Castle,2,6,8.5
Castle,2,7,7.7
Castle,2,8,7.9
Castle,2,9,8.1
Castle,2,10,8
Castle,2,11,8.4
Castle,2,12,8.4
Castle,2,13,8.7
Castle,2,14,8.2
Castle,2,15,7.5
Castle,2,16,8
Castle,2,17,9.1
Castle,2,18,8.9
Castle,2,19,7.9
Castle,2,20,7.7
Castle,2,21,8.2
Castle,2,22,7.9
Castle,2,23,7.7
Castle,2,24,8.6
Castle,3,1,8.4
Castle,3,2,7.8
Castle,3,3,8.1
Castle,3,4,8.3
Castle,3,5,8.1
Castle,3,6,8.7
Castle,3,7,7.5
Castle,3,8,7.9
Castle,3,9,8.4
Castle,3,10,8.4
Castle,3,11,8.8
Castle,3,12,8.1
Castle,3,13,9
Castle,3,14,7.8
Castle,3,15,8
Castle,3,16,8.6
Castle,3,17,8.8
Castle,3,18,7.7
Castle,3,19,8.1
Castle,3,20,7.9
Castle,3,21,7.7
Castle,3,22,8.5
Castle,3,23,7.5
Castle,3,24,9.2
Castle,4,1,8.5
Castle,4,2,8.4
Castle,4,3,7.7
Castle,4,4,8.1
Castle,4,5,8.2
Castle,4,6,8.3
Castle,4,7,9
Castle,4,8,7.6
Castle,4,9,8.5
Castle,4,10,8.7
Castle,4,11,8.1
Castle,4,12,8
Castle,4,13,7.9
Castle,4,14,8.8
Castle,4,15,8.7
Castle,4,16,8.5
Castle,4,17,8
Castle,4,18,7.5
Castle,4,19,8.5
Castle,4,20,7.8
Castle,4,21,8.4
Castle,4,22,8.6
Castle,4,23,9.4
Castle,5,1,9
Castle,5,2,8.2
Castle,5,3,8.2
Castle,5,4,8.8
Castle,5,5,9.2
Castle,5,6,8.7
Castle,5,7,7.6
Castle,5,8,8
Castle,5,9,8.1
Castle,5,10,8.1
Castle,5,11,7.5
Castle,5,12,7.5
Castle,5,13,8.2
Castle,5,14,7.8
Castle,5,15,9.1
Castle,5,16,9.3
Castle,5,17,8.2
Castle,5,18,8.5
Castle,5,19,9.1
Castle,5,20,7.4
Castle,5,21,7.8
Castle,5,22,8.5
Castle,5,23,7.9
Castle,5,24,8.2
Castle,6,1,8.4
Castle,6,2,7.9
Castle,6,3,7.7
Castle,6,4,8.3
Castle,6,5,8.8
Castle,6,6,7.8
Castle,6,7,8.3
Castle,6,8,7.6
Castle,6,9,8.9
Castle,6,10,8.2
Castle,6,11,8.6
Castle,6,12,8.5
Castle,6,13,7.9
Castle,6,14,7.8
Castle,6,15,8.2
Castle,6,16,8.2
Castle,6,17,8.7
Castle,6,18,8.2
Castle,6,19,7.7
Castle,6,20,8.2
Castle,6,21,7.3
Castle,6,22,9.1
Castle,6,23,7.8
Castle,7,1,8
Castle,7,2,8.1
Castle,7,3,7.9
Castle,7,4,7.9
Castle,7,5,8
Castle,7,6,8.6
Castle,7,7,8.1
Castle,7,8,8
Castle,7,9,7.5
Castle,7,10,7.8
Castle,7,11,8.5
Castle,7,12,7.8
Castle,7,13,8.1
Castle,7,14,9
Castle,7,15,9.1
Castle,7,16,8
Castle,7,17,7.8
Castle,7,18,8.2
Castle,7,19,7.7
Castle,7,20,7.7
Castle,7,21,8.1
Castle,7,22,7.4
Castle,7,23,8.6
Castle,8,1,8.2
Castle,8,2,7.2
Castle,8,3,7.4
Castle,8,4,7.2
Castle,8,5,8.2
Castle,8,6,7.9
Castle,8,7,7.9
Castle,8,8,7.7
Castle,8,9,7.6
Castle,8,10,8.1
Castle,8,11,8
Castle,8,12,8.5
Castle,8,13,7.6
Castle,8,14,7.9
Castle,8,15,7.8
Castle,8,16,8
Castle,8,17,7.6
Castle,8,18,7.5
Castle,8,19,8
Castle,8,20,7.5
Castle,8,21,7.9
Castle,8,22,7
Frasier,1,1,8.5
Frasier,1,2,7.9
Frasier,1,3,8.1
Frasier,1,4,7.8
Frasier,1,5,7.8
Frasier,1,6,7.6
Frasier,1,7,7.8
Frasier,1,8,8
Frasier,1,9,7.9
Frasier,1,10,7.9
Frasier,1,11,7.6
Frasier,1,12,8.4
Frasier,1,13,7.9
Frasier,1,14,7.6
Frasier,1,15,7.7
Frasier,1,16,8.3
Frasier,1,17,8.5
Frasier,1,18,7.7
Frasier,1,19,8
Frasier,1,20,7.5
Frasier,1,21,8.7
Frasier,1,22,8.2
Frasier,1,23,8.5
Frasier,1,24,8.7
Frasier,2,1,7.7
Frasier,2,2,7.6
Frasier,2,3,9.2
Frasier,2,4,8.1
Frasier,2,5,7.6
Frasier,2,6,8
Frasier,2,7,8.2
Frasier,2,8,7.8
Frasier,2,9,8
Frasier,2,10,7.5
Frasier,2,11,8.2
Frasier,2,12,7.8
Frasier,2,13,8.2
Frasier,2,14,7.6
Frasier,2,15,7.8
Frasier,2,16,7.9
Frasier,2,17,8.8
Frasier,2,18,8
Frasier,2,19,8
Frasier,2,20,8.2
Frasier,2,21,8.8
Frasier,2,22,8.3
Frasier,2,23,8.9
Frasier,2,24,8.2
Frasier,3,1,8.1
Frasier,3,2,7.9
Frasier,3,3,7.8
Frasier,3,4,7.5
Frasier,3,5,7.9
Frasier,3,6,8.1
Frasier,3,7,8.3
Frasier,3,8,8.1
Frasier,3,9,8
Frasier,3,10,7.4
Frasier,3,11,7.1
Frasier,3,12,7.6
Frasier,3,13,9.1
Frasier,3,14,7.9
Frasier,3,15,7.9
Frasier,3,16,8.2
Frasier,3,17,8.4
Frasier,3,18,8.2
Frasier,3,19,7.7
Frasier,3,20,7.7
Frasier,3,21,8
Frasier,3,22,7.8
Frasier,3,23,8
Frasier,3,24,8.2
Frasier,4,1,9.1
Frasier,4,2,7.9
Frasier,4,3,8
Frasier,4,4,7.9
Frasier,4,5,8.2
Frasier,4,6,8.8
Frasier,4,7,8.2
Frasier,4,8,7.7
Frasier,4,9,7.8
Frasier,4,10,7.5
Frasier,4,11,7.9
Frasier,4,12,8.2
Frasier,4,13,8.2
Frasier,4,14,8.6
Frasier,4,15,8
Frasier,4,16,7.6
Frasier,4,17,7.7
Frasier,4,18,9.4
Frasier,4,19,8.2
Frasier,4,20,8.5
Frasier,4,21,8.4
Frasier,4,22,7.5
Frasier,4,23,7.9
Frasier,5,1,8.6
Frasier,5,2,8.3
Frasier,5,3,9
Frasier,5,4,7.8
Frasier,5,5,7.7
Frasier,5,6,8.1
Frasier,5,7,7.7
Frasier,5,8,7.3
Frasier,5,9,8.5
Frasier,5,10,7.6
Frasier,5,11,7.6
Frasier,5,12,7.8
Frasier,5,13,8.1
Frasier,5,14,9.5
Frasier,5,15,8.8
Frasier,5,16,7.5
Frasier,5,17,8
Frasier,5,18,7.6
Frasier,5,19,7.4
Frasier,5,20,8.6
Frasier,5,21,8.4
Frasier,5,22,8.2
Frasier,5,23,7.6
Frasier,5,24,7.7
Frasier,6,1,7.7
Frasier,6,2,7.6
Frasier,6,3,8.6
Frasier,6,4,7.5
Frasier,6,5,7.3
Frasier,6,6,7.6
Frasier,6,7,8.2
Frasier,6,8,8.2
Frasier,6,9,7.5
Frasier,6,10,8.7
Frasier,6,11,7.8
Frasier,6,12,7.5
Frasier,6,13,7.3
Frasier,6,14,8.9
Frasier,6,15,8.2
Frasier,6,16,8.4
Frasier,6,17,8.2
Frasier,6,18,7.9
Frasier,6,19,8
Frasier,6,20,8.1
